iter	MultiClass
0	1.08750969
1	1.076691851
2	1.066145786
3	1.055861018
4	1.042451036
5	1.029342111
6	1.017472416
7	1.006144838
8	0.9947191105
9	0.9837619923
10	0.9736647753
11	0.9635603563
12	0.953112203
13	0.9429075504
14	0.9333132271
15	0.9239349654
16	0.9149592447
17	0.9061787533
18	0.8977719947
19	0.8895429066
20	0.8777988601
21	0.8662826604
22	0.8551038857
23	0.84158373
24	0.8283825478
25	0.8154867087
26	0.8028875228
27	0.7905726095
28	0.7785331599
29	0.7667579839
30	0.7552400581
31	0.7439700971
32	0.7329393513
33	0.7221404998
34	0.7115665784
35	0.7012090757
36	0.6910628728
37	0.6811206488
38	0.671376749
39	0.6618243285
40	0.6524590423
41	0.6432748789
42	0.6342662431
43	0.625429028
44	0.6167576387
45	0.6082480277
46	0.5998955524
47	0.5916959272
48	0.5836453429
49	0.5757392757
50	0.5679754045
51	0.5603483722
52	0.5528558575
53	0.5454936346
54	0.5382589653
55	0.5311488737
56	0.5241601455
57	0.5172898644
58	0.5105350541
59	0.5038932149
60	0.4973616087
61	0.4909374976
62	0.4846182627
63	0.4784022671
64	0.4722864455
65	0.4662692205
66	0.4603483305
67	0.4545213052
68	0.4487862698
69	0.4431412004
70	0.4375835974
71	0.4321122999
72	0.4267254628
73	0.4214214195
74	0.4161985035
75	0.4110548696
76	0.4059888215
77	0.4009989008
78	0.39608356
79	0.3912407159
80	0.3864700114
81	0.3817691846
82	0.3771372237
83	0.3725734145
84	0.3680754356
85	0.3636423644
86	0.3592728321
87	0.3549666003
88	0.3507214075
89	0.3465366881
90	0.3424106862
91	0.3383434912
92	0.3343331091
93	0.3303782898
94	0.3264781408
95	0.322632513
96	0.3188396209
97	0.3150993752
98	0.3114103772
99	0.3077715852
100	0.3041823445
101	0.3006418516
102	0.2971490351
103	0.2937032998
104	0.2903033957
105	0.2869491442
106	0.2836394443
107	0.2803739091
108	0.2771509017
109	0.2739706899
110	0.2708323215
111	0.2677350821
112	0.2646782576
113	0.2616610443
114	0.2586830554
115	0.2557438148
116	0.2528419832
117	0.2499775903
118	0.2471500708
119	0.2443588442
120	0.2416031517
121	0.2388824725
122	0.2361961965
123	0.2335437731
124	0.2309248601
125	0.2283390557
126	0.2257855861
127	0.2232638859
128	0.220773717
129	0.2183145288
130	0.2158860387
131	0.2134874727
132	0.2111186078
133	0.208778566
134	0.2064676448
135	0.2041851152
136	0.2019305308
137	0.1997034153
138	0.1975034117
139	0.1953300885
140	0.1931830735
141	0.1910621586
142	0.1889669419
143	0.1868969621
144	0.1848516836
145	0.1828310021
146	0.1808346351
147	0.1788621211
148	0.1769131625
149	0.1749872238
150	0.1730839328
151	0.1712032004
152	0.1693449073
153	0.1675088752
154	0.165693973
155	0.1639007812
156	0.1621283325
157	0.160377103
158	0.1586459619
159	0.1569353258
160	0.1552446293
161	0.1535735003
162	0.1519216711
163	0.1502890225
164	0.1486754653
165	0.1470807019
166	0.1455042859
167	0.1439460238
168	0.1424059007
169	0.1408833662
170	0.1393783308
171	0.1378906161
172	0.1364197756
173	0.1349658837
174	0.1335283899
175	0.1321071007
176	0.1307021798
177	0.1293133147
178	0.1279401781
179	0.1265825616
180	0.1252400188
181	0.1239129068
182	0.1226007644
183	0.121303175
184	0.1200205327
